symbol,name,sector
BTC-USD,Bitcoin,Cripto
ETH-USD,Ethereum,Cripto
XRP-USD,XRP,Cripto
BNB-USD,BNB,Cripto
SOL-USD,Solana,Cripto
ADA-USD,Cardano,Cripto
DOGE-USD,Dogecoin,Cripto
TRX-USD,TRON,Cripto
LINK-USD,Chainlink,Cripto
AVAX-USD,Avalanche,Cripto
XLM-USD,Stellar,Cripto
LTC-USD,Litecoin,Cripto
DOT-USD,Polkadot,Cripto
BCH-USD,Bitcoin Cash,Cripto
UNI-USD,Uniswap,Cripto
ATOM-USD,Cosmos,Cripto
XMR-USD,Monero,Cripto
ETC-USD,Ethereum Classic,Cripto
HBAR-USD,Hedera,Cripto
AAVE-USD,Aave,Cripto
